station_id,station_name,latitude,longitude,elevation_m,valid_years,mean_annual_extreme_min_c,usda_zone,period,data_source,calculation_note
UPM00033999,AI-PETRI,44.4700,34.0700,1180.0,22,-17.40,7a,1991-2020,NOAA/NCEI GHCN-Daily,mean of annual TMIN extremes; QC-flagged values excluded; >=250 valid days/year including >=100 days in Jan-Mar and Nov-Dec; >=20 valid years
UPM00033976,FEODOSIIA,45.0331,35.3831,22.0,22,-12.87,7b,1991-2020,NOAA/NCEI GHCN-Daily,mean of annual TMIN extremes; QC-flagged values excluded; >=250 valid days/year including >=100 days in Jan-Mar and Nov-Dec; >=20 valid years
UPM00033983,KERCH,45.4000,36.4167,49.0,25,-13.54,7b,1991-2020,NOAA/NCEI GHCN-Daily,mean of annual TMIN extremes; QC-flagged values excluded; >=250 valid days/year including >=100 days in Jan-Mar and Nov-Dec; >=20 valid years
UPM00033915,ASKANIIA NOVA,46.5000,33.9000,28.0,29,-18.86,6b,1991-2020,NOAA/NCEI GHCN-Daily,mean of annual TMIN extremes; QC-flagged values excluded; >=250 valid days/year including >=100 days in Jan-Mar and Nov-Dec; >=20 valid years
UPM00033846,NIKOLAEV,46.9667,31.9831,49.0,22,-19.54,6b,1991-2020,NOAA/NCEI GHCN-Daily,mean of annual TMIN extremes; QC-flagged values excluded; >=250 valid days/year including >=100 days in Jan-Mar and Nov-Dec; >=20 valid years
UPM00033791,KRIVOJ_ROG,47.9000,33.4000,100.0,20,-21.05,6a,1991-2020,NOAA/NCEI GHCN-Daily,mean of annual TMIN extremes; QC-flagged values excluded; >=250 valid days/year including >=100 days in Jan-Mar and Nov-Dec; >=20 valid years
UPM00033663,MOHYLIV-PODILSKYI,48.4500,27.7830,78.0,24,-20.11,6b,1991-2020,NOAA/NCEI GHCN-Daily,mean of annual TMIN extremes; QC-flagged values excluded; >=250 valid days/year including >=100 days in Jan-Mar and Nov-Dec; >=20 valid years
UPM00033711,KIROVOHRAD,48.5170,32.2000,171.0,23,-22.17,6a,1991-2020,NOAA/NCEI GHCN-Daily,mean of annual TMIN extremes; QC-flagged values excluded; >=250 valid days/year including >=100 days in Jan-Mar and Nov-Dec; >=20 valid years
UPM00034523,LUGANSK,48.5667,39.2500,59.0,23,-24.30,5b,1991-2020,NOAA/NCEI GHCN-Daily,mean of annual TMIN extremes; QC-flagged values excluded; >=250 valid days/year including >=100 days in Jan-Mar and Nov-Dec; >=20 valid years
UPM00034504,DNIPROPETROVSK,48.6000,34.9670,143.0,22,-20.60,6b,1991-2020,NOAA/NCEI GHCN-Daily,mean of annual TMIN extremes; QC-flagged values excluded; >=250 valid days/year including >=100 days in Jan-Mar and Nov-Dec; >=20 valid years
UPM00033587,UMAN,48.7700,30.2300,214.0,30,-20.60,6b,1991-2020,NOAA/NCEI GHCN-Daily,mean of annual TMIN extremes; QC-flagged values excluded; >=250 valid days/year including >=100 days in Jan-Mar and Nov-Dec; >=20 valid years
